Data Medicao,PRECIPITACAO TOTAL, DIARIO (AUT)(mm),PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB),TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C),TEMPERATURA MAXIMA, DIARIA (AUT)(°C),TEMPERATURA MEDIA, DIARIA (AUT)(°C),TEMPERATURA MINIMA, DIARIA (AUT)(°C),UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%),UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%),VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s),VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s)
2008-10-21,0,921.6,14.4,27.2,20.1,14.6,71.2,51,12.8,5.7,,,,,,,,
2008-10-22,0,921.1,15.5,20.8,17.2,16.1,90.3,75,11,2.5,,,,,,,,
2008-10-23,14.4,921.6,16.1,20.8,16.8,14.7,95.8,77,6.5,1.7,,,,,,,,
2008-10-24,8.2,921.8,16.3,20.3,17.3,14.6,94.3,81,6.2,1.5,,,,,,,,
2008-10-25,8,921.2,16.3,18.6,17.2,16.2,94.6,86,9.5,2.9,,,,,,,,
2008-10-26,84.4,917.1,15.7,19.1,17,15.9,92.7,82,16.9,4.4,,,,,,,,
2008-10-27,13.4,919.5,13.6,18.4,15.1,12,91.5,65,9.7,2.2,,,,,,,,
2008-10-28,.6,919.9,12.3,21.9,14.5,9.7,87.1,69,11,2.8,,,,,,,,
2008-10-29,16.2,917.4,14.8,17.6,16.1,13.4,92.5,86,12.7,3.4,,,,,,,,
2008-10-30,1.8,920.8,10.9,18.6,14.9,11.8,79.4,42,10.1,2.6,,,,,,,,
2008-10-31,0,923.8,10.5,18.8,13.4,9.3,83.3,64,8.8,1.8,,,,,,,,
2008-11-01,0,920.3,13.3,24.8,16.7,11.8,81.1,47,10.5,3.9,,,,,,,,
2008-11-02,20.2,918.9,14.5,18.8,15.3,13.6,94.5,83,10.4,2.7,,,,,,,,
2008-11-03,7.6,921,15.2,19.4,16.1,14.3,95,84,6.2,1.6,,,,,,,,
2008-11-04,1.4,919.7,15.6,23.6,18.3,14.1,84.9,64,8.3,3.1,,,,,,,,
2008-11-05,0,917.2,16.5,26.6,20.2,16.3,80.8,49,8.1,2.2,,,,,,,,
2008-11-06,5.6,914.6,15.6,19.6,16.7,16.8,93.1,72,9.3,2.4,,,,,,,,
2008-11-07,12,917.2,14.1,21.6,16.4,11.6,87,66,10,1.8,,,,,,,,
2008-11-08,0,917.3,14.9,26,19.2,14.7,77.1,54,11.2,4,,,,,,,,
2008-11-09,0,918.7,17.2,24.7,19.7,15.8,86.3,67,8.9,2.1,,,,,,,,
2008-11-10,4.2,921,16.4,20.8,17.5,16.1,93.9,84,8,1.9,,,,,,,,
2008-11-11,1.4,921.8,14.1,20.5,16.4,14.2,86.6,72,11.7,2.9,,,,,,,,
2008-11-12,0,920.8,11,19,15.4,13.9,75.5,54,10.8,3.7,,,,,,,,
2008-11-13,0,918.6,11.5,18.1,14.1,10.8,84.6,72,10.4,2.3,,,,,,,,
2008-11-14,0,914.4,13.8,22.2,16.5,12.9,84.9,64,9.4,1.8,,,,,,,,
2008-11-15,18.6,914.8,13.3,23.7,17.9,13.2,76.8,39,9.5,2.4,,,,,,,,
2008-11-16,19.6,921.6,10.3,18.3,10.7,8.8,97.9,81,12.5,2.2,,,,,,,,
2008-11-17,1.2,922.4,10.4,19.7,13.5,8.1,82.4,63,10,2.3,,,,,,,,
2008-11-18,0,923.1,11.8,19.2,14.4,11.1,84.6,66,11.5,2.1,,,,,,,,
2008-11-19,0,924.1,10.4,18.1,12.9,9.5,85.1,63,9.7,2.2,,,,,,,,
2008-11-20,1.2,924.9,11.7,17.7,13.4,11.3,89.5,75,10.5,2.5,,,,,,,,
2008-11-21,7,926.2,10.6,16.8,13.4,11.7,83.4,63,11.6,4.4,,,,,,,,
2008-11-22,2,925.2,11.6,19,15.2,12.3,79.7,68,14.7,5.6,,,,,,,,
2008-11-23,.4,923.1,12.5,22.8,17.1,13.6,75.2,57,19.9,7,,,,,,,,
2008-11-24,0,922,14.2,25.7,19.3,14.2,73.8,46,12.3,5.7,,,,,,,,
2008-11-25,0,921.9,14.7,26.6,20.6,15.5,70.8,46,12.7,5,,,,,,,,
2008-11-26,0,922.2,14.5,27.4,20.5,15.3,71.3,37,11.5,4.5,,,,,,,,
2008-11-27,0,922.6,15.2,27.5,20.4,15.8,74,41,11,5.3,,,,,,,,
2008-11-28,0,921.3,14.5,27.5,20.2,16,72,38,12.4,5,,,,,,,,
2008-11-29,0,920.1,15.1,28.1,20.4,15.3,74,34,11.9,4.5,,,,,,,,
2008-11-30,0,918,15.4,27.9,19.7,16.5,77.9,48,11.8,5.1,,,,,,,,
2008-12-01,5.2,914.9,16.6,25.5,18.7,17.2,88.3,57,19.3,5.1,,,,,,,,
2008-12-02,19.4,915.4,13.2,20.3,15.5,14.2,87.4,56,8.6,2.7,,,,,,,,
2008-12-03,57.2,915.6,10.1,16.4,11.7,9.4,90.8,63,12.2,2.7,,,,,,,,
2008-12-04,5.8,918.8,10.4,16.4,12.2,10.3,89.4,64,8,1.5,,,,,,,,
2008-12-05,.2,922.1,9.6,19.4,13.3,7.3,80,47,8,2,,,,,,,,
2008-12-06,0,923.1,12.8,22.1,16.4,11.7,80.3,57,7.2,2.7,,,,,,,,
2008-12-07,0,922.6,13.4,28.3,19.8,13.5,71,28,8.2,3.3,,,,,,,,
2008-12-08,0,920.6,14.8,30.5,23.1,16.9,63.6,26,9.7,3.9,,,,,,,,
2008-12-09,0,919.1,16.6,30.5,23.3,19.4,66.8,35,14.2,2,,,,,,,,
2008-12-10,1.8,917.2,16.5,20.6,17.6,16.9,93.7,82,8.3,2.1,,,,,,,,
2008-12-11,6.4,919.6,15.3,21.8,16.1,14.6,94.8,70,10.1,1.6,,,,,,,,
2008-12-12,2,922.5,14.2,21.1,15.9,13.4,90.3,68,7.7,1.9,,,,,,,,
2008-12-13,.6,921.3,12.6,23.8,17.1,11.7,76.3,54,10,3.3,,,,,,,,
2008-12-14,0,919,14.4,21.9,17.2,14.5,84.8,62,9.7,3.5,,,,,,,,
2008-12-15,11.8,916.3,14.7,19,16.4,15,89.9,74,9.5,3,,,,,,,,
2008-12-16,2.6,916,13.2,22,17.1,14.6,78.6,58,11,3.9,,,,,,,,
2008-12-17,0,917.8,15.1,22.5,17.9,14.7,83.9,72,9.5,2.7,,,,,,,,
2008-12-18,0,920.3,13.3,22.9,17.5,12.9,77.7,52,8,2.6,,,,,,,,
2008-12-19,0,920,14.6,24.3,18.4,13.3,79.5,58,8.6,2.9,,,,,,,,
2008-12-20,0,918.3,15.9,27.1,20.5,14.7,76.6,51,9.4,3,,,,,,,,
2008-12-21,0,918.1,15.8,29.7,22.4,16.4,68.9,39,9.9,3.1,,,,,,,,
2008-12-22,0,919.3,15.5,29.6,22.8,17.3,65.3,41,9,3,,,,,,,,
2008-12-23,0,918.9,17.4,30.1,22,18.8,77.2,41,11,3.2,,,,,,,,
2008-12-24,26.4,915.7,16.6,21.3,18.5,17.4,88.7,72,7.7,2.5,,,,,,,,
2008-12-25,11.2,915.5,15,23.7,18,14.6,84,57,8.1,1.4,,,,,,,,
2008-12-26,.2,917.6,13,23.9,17.4,11.1,77.5,24,8.1,1.8,,,,,,,,
2008-12-27,12.2,917.4,12.6,25.5,18.7,13.3,70,35,9.2,3.6,,,,,,,,
2008-12-28,0,916.7,13.8,28.7,21,14.3,66.8,32,10.1,3.4,,,,,,,,
2008-12-29,.6,918.9,16,26.6,19.6,18.1,81.3,45,12.2,2.4,,,,,,,,
2008-12-30,9.6,921.5,14.2,19.5,15.3,12.7,93.1,81,8.3,1.7,,,,,,,,
2008-12-31,0,918.5,17,25.7,20,13.9,83.2,66,9.4,3.2,,,,,,,,
2009-01-01,.4,920.2,16.2,20.7,17.2,16.3,93.8,77,9.9,1.6,,,,,,,,
2009-01-02,2.8,919.4,13.9,18.7,14.9,13.7,94.2,78,6.9,1.6,,,,,,,,
2009-01-03,50.4,915.9,12.3,13.4,12.5,11.7,99,98,10.5,2.1,,,,,,,,
2009-01-04,42.6,919.3,12.2,15.4,12.7,10.8,97.2,87,10.8,1.6,,,,,,,,
2009-01-05,2.2,920.2,11.7,22,15.6,9.8,79,54,8.5,2.3,,,,,,,,
2009-01-06,0,919.2,12.2,25.4,18,12,71.6,36,12.1,3,,,,,,,,
2009-01-07,0,919.3,11.6,27.2,20.7,14.5,59,30,8.8,2.6,,,,,,,,
2009-01-08,0,920.1,15.2,26.3,20,15.9,75.2,40,7.5,1.8,,,,,,,,
2009-01-09,27,923.6,14.8,20.1,16.6,14.7,89.1,76,12.5,2.7,,,,,,,,
2009-01-10,10,923.9,16.2,23,18,15,89.5,68,10.6,3.1,,,,,,,,
2009-01-11,24.6,920.6,16.7,25.5,19.1,14.6,87,61,17.1,2.9,,,,,,,,
2009-01-12,3,919.9,15.8,26.2,20,15.2,78.6,49,9,3,,,,,,,,
2009-01-13,0,919,17.2,23.1,19.6,17.2,86.7,72,9.8,2.6,,,,,,,,
2009-01-14,.2,916.8,17.1,25.4,20.1,15.5,83.7,60,9,2.7,,,,,,,,
2009-01-15,5.4,916.4,18,23.6,19.2,17.2,92.7,67,7,1.7,,,,,,,,
2009-01-16,.4,917.5,15.2,23.9,18.5,13.8,82.1,40,6.7,1.6,,,,,,,,
2009-01-17,.2,915.5,16.6,26,19.9,16.6,82.2,55,8.4,2.9,,,,,,,,
2009-01-18,2.8,915.5,17.1,27.3,20.7,15.7,81.9,44,8.2,2.3,,,,,,,,
2009-01-19,49.6,918.2,16.2,20.4,16.7,17,96.8,83,15.1,2,,,,,,,,
2009-01-20,55,921.6,14.1,18.4,14.7,13,96.7,84,8.3,1.7,,,,,,,,
2009-01-21,5.6,923.4,13.1,21.3,15.6,10.6,85.7,70,7.9,1.9,,,,,,,,
2009-01-22,0,924.8,12.7,23.6,17.3,12.4,75.1,51,11.7,3.5,,,,,,,,
2009-01-23,0,925.2,12.2,24.7,18,12.9,70.5,41,12.9,4.4,,,,,,,,
2009-01-24,0,922,14,25.7,18.7,13.7,75.4,50,14,4,,,,,,,,
2009-01-25,0,919.9,16.2,26.7,20.1,15.5,79.1,52,12,4.5,,,,,,,,
2009-01-26,0,920.5,17.7,27.5,21.7,18.1,78.7,57,8.6,3.2,,,,,,,,
2009-01-27,0,920.9,17.9,26.9,21,17.8,82.9,64,8.9,3.1,,,,,,,,
2009-01-28,20.6,918.7,18.1,26,20.6,18.2,86.5,61,10.5,3.5,,,,,,,,
2009-01-29,37.6,914.7,18.9,24.5,20.7,19,90,72,10,3,,,,,,,,
2009-01-30,5.2,913.1,16.2,26.3,21.3,17.4,74.6,46,14.3,4.2,,,,,,,,
2009-01-31,3.2,913.1,16.5,23.6,19.1,16.3,85,65,14.8,4.7,,,,,,,,
2009-02-01,15.8,918.1,17,24.4,19.1,15.3,88,67,8.2,2,,,,,,,,
2009-02-02,2.6,920.5,16.8,26.5,19.8,16.2,84.7,50,7,2.2,,,,,,,,
2009-02-03,0,919.4,16,26.1,20.8,17.5,74.3,57,13.8,5.3,,,,,,,,
2009-02-04,.2,919.2,17.4,23.3,19.2,18.3,89.6,73,8.9,2.2,,,,,,,,
2009-02-05,12.6,920,15,23.2,17.5,12.8,85.8,66,10.7,2.2,,,,,,,,
2009-02-06,0,918,17.1,27.6,21.3,15.5,78.4,56,12,4.4,,,,,,,,
2009-02-07,0,919.8,18.6,24.9,20.6,17.6,88.9,72,8,1.6,,,,,,,,
2009-02-08,0,919.8,18.1,24.3,20,17.2,89.1,76,7,1.8,,,,,,,,
2009-02-09,0,919.7,16.1,25.8,20.9,16.4,75.6,46,7.4,1.8,,,,,,,,
2009-02-10,0,919.4,16.7,28.3,22,16.8,72.8,54,9.8,4,,,,,,,,
2009-02-11,0,915.2,18.5,23.5,21.2,21.2,84.9,74,14.3,5.5,,,,,,,,
2009-02-12,14,919.2,13,20.4,16.4,13,81.2,56,9.6,1.8,,,,,,,,
2009-02-13,0,917.9,13,24.6,17.5,12.1,76.4,56,9.5,3.2,,,,,,,,
2009-02-14,0,918.6,15.3,24.7,19,14.6,80.2,58,8.1,3.1,,,,,,,,
2009-02-15,0,919.3,13.5,25.9,18.9,14.5,73.3,31,9.7,3.4,,,,,,,,
2009-02-16,0,917.3,17.5,26.4,20.8,17.7,82.2,59,9.2,3.4,,,,,,,,
2009-02-17,24.4,919.2,18.5,27.3,21.1,17.3,86.1,59,12.9,4,,,,,,,,
2009-02-18,9.4,920.6,19.1,25.7,21.3,19.4,88,68,8.5,3.6,,,,,,,,
2009-02-19,9.8,921.4,19.2,26.4,21.4,18.8,87.6,65,10.5,3.3,,,,,,,,
2009-02-20,43.2,918.6,19.2,25.1,21.3,18.5,88.3,75,9.7,3.4,,,,,,,,
2009-02-21,5.2,917.5,18.5,25.9,21.2,17.5,85.4,64,10,2.5,,,,,,,,
2009-02-22,0,918.3,18.9,28.6,22.9,18.2,80.3,51,8,1.9,,,,,,,,
2009-02-23,12.4,918.1,18.5,25.2,20.3,18.8,89.8,73,15.6,3,,,,,,,,
2009-02-24,31,921.5,15.3,19.7,16.4,15.2,93.7,80,6.7,1.5,,,,,,,,
2009-02-25,1.2,923.2,14.5,19.4,16.5,14.8,88.2,80,8.1,2.4,,,,,,,,
2009-02-26,.2,921.2,16.6,23.4,18.6,15.7,89,66,10.1,2.7,,,,,,,,
2009-02-27,7.6,919.8,18.2,23.4,19.4,18,93.3,79,7.5,1.7,,,,,,,,
2009-02-28,18,920.4,18.8,24,19.9,17.5,93.5,77,6.3,1.4,,,,,,,,
2009-03-01,.4,919.7,19.7,27.2,21.8,19.1,88.3,66,8.8,3.4,,,,,,,,
2009-03-02,3.6,919.7,19.6,25.3,21,20.3,91.7,75,16.1,2.8,,,,,,,,
2009-03-03,19.2,921.4,18.3,25.3,20.3,16.2,89,70,6,1.1,,,,,,,,
2009-03-04,0,918.6,19.5,29.5,22.9,17.9,82.8,58,8.1,2.6,,,,,,,,
2009-03-05,.8,915.8,17.8,25.8,21.5,19.7,79.9,59,14.7,4.6,,,,,,,,
2009-03-06,7.6,919.5,16.5,20.9,17.6,15.6,93.3,78,9.7,1.7,,,,,,,,
2009-03-07,.8,919.9,16.1,24.1,18.3,13.9,87.9,61,8.5,2.3,,,,,,,,
2009-03-08,0,918.4,17.7,24.5,19.6,17.4,89,71,10.6,3.5,,,,,,,,
2009-03-09,6.8,920.1,16.9,20.8,17.7,16.6,95.5,89,7.4,1.5,,,,,,,,
2009-03-10,7.6,922,16.3,23.3,19.1,16.7,84.5,70,10.4,3.2,,,,,,,,
2009-03-11,0,919.7,17.6,25.8,19.7,17.3,88.2,60,11.4,2.5,,,,,,,,
2009-03-12,15,917.2,17.6,22.9,19,17.5,91.6,75,18.5,2,,,,,,,,
2009-03-13,14.8,915.5,16.3,24.4,19,15.4,84.9,58,11.1,3.2,,,,,,,,
2009-03-14,.2,916.7,13.4,22.5,17.9,13.6,77.2,40,11.8,2.6,,,,,,,,
2009-03-15,0,920,13.8,19.7,16.1,13.9,86.3,69,9.7,2.5,,,,,,,,
2009-03-16,5,920.1,11.4,21.9,15,8.3,81.3,39,8.4,1.6,,,,,,,,
2009-03-17,.2,920.9,14,21.8,16.3,13.3,86.7,65,10.6,3.6,,,,,,,,
2009-03-18,3,925.5,13.6,19.5,15.8,12.7,86.9,74,8.6,2,,,,,,,,
2009-03-19,0,924.4,14.7,23.6,17.9,14.5,82,60,10.6,4,,,,,,,,
2009-03-20,0,922.6,15.7,24.6,18.1,15.8,85.9,63,10,3.8,,,,,,,,
2009-03-21,2.4,920.5,16.6,25.9,19.4,15.3,84.6,54,7.5,2.5,,,,,,,,
2009-03-22,0,918.8,17,25.4,20,16.1,83.2,58,7.7,2.8,,,,,,,,
2009-03-23,0,918.9,17.5,24.8,20.2,17.4,85.1,61,7.5,2.8,,,,,,,,
2009-03-24,.2,921.5,16,21.3,17.7,14.9,90.4,76,9.7,1.6,,,,,,,,
2009-03-25,0,920.9,14.6,22.7,17.4,13.7,84,65,8,2.5,,,,,,,,
2009-03-26,0,919.3,15.6,25.9,19.4,15.7,80.1,44,10.2,3.8,,,,,,,,
2009-03-27,0,918.9,16,21.9,18.2,17.5,86.9,72,10.3,3.7,,,,,,,,
2009-03-28,14.8,917,15.3,24.6,18.6,14,82,55,6,1.9,,,,,,,,
2009-03-29,.2,917,16.1,26.4,19.8,15,81,47,8.5,2.4,,,,,,,,
2009-03-30,.2,917.7,17.2,26.8,21.1,17.1,79.8,43,7.8,2.5,,,,,,,,
2009-03-31,0,918.4,17.7,26.4,20.3,17.2,85.8,57,9.1,1.9,,,,,,,,
2009-04-01,7,921.9,14.5,17.7,14.9,15.8,97.3,94,10.3,1.5,,,,,,,,
2009-04-02,15.4,921.9,12.9,21.4,15.2,10.1,86.6,69,8.8,2.5,,,,,,,,
2009-04-03,0,920.5,15.8,26.9,19.5,14.7,80.8,41,9.9,3.9,,,,,,,,
2009-04-04,0,918.5,15.2,27.5,20.5,15.6,73,47,13,4.4,,,,,,,,
2009-04-05,6,919.5,17.2,22.5,17.8,17.7,96.1,69,9.1,1.4,,,,,,,,
2009-04-06,1.8,921.1,17.2,24.8,19,15.7,89.9,59,5.8,2.1,,,,,,,,
2009-04-07,.2,921,17.3,25.9,19.5,15.6,88,58,7.5,2.2,,,,,,,,
2009-04-08,.2,922.1,15.7,21.1,17.3,15,90.8,64,7.8,1.4,,,,,,,,
2009-04-09,.2,921,13.5,21.7,16.5,13.1,83.5,55,9,3,,,,,,,,
2009-04-10,0,920.9,6.5,17.4,13.5,9.7,65.9,27,9.1,2.4,,,,,,,,
2009-04-11,0,921.6,7.3,20.3,14,8.3,64.8,44,5.4,1.2,,,,,,,,
2009-04-12,0,922.8,7.6,24.8,18.3,11.8,50.6,33,8.3,2.4,,,,,,,,
2009-04-13,0,922.5,12.9,26.9,19.5,14.2,67.9,39,8.6,3.7,,,,,,,,
2009-04-14,0,923.8,14.2,22.1,17.7,14.5,80.5,47,8.7,1.3,,,,,,,,
2009-04-15,4.8,927,11.4,18.1,13.7,11.3,87,62,7.5,1.5,,,,,,,,
2009-04-16,0,926.8,12.2,23.1,15.5,10.9,81.9,47,8,3.1,,,,,,,,
2009-04-17,0,925.2,13.1,25,17.5,12.3,77.4,41,6.9,2.7,,,,,,,,
2009-04-18,0,922.5,13,25.4,18.7,13,71,45,9.7,3,,,,,,,,
2009-04-19,0,922.1,12.5,19.3,15,14,85.6,56,7.4,1.2,,,,,,,,
2009-04-20,20.4,925.4,9,15.2,11,6.8,88.4,66,6.3,1.1,,,,,,,,
2009-04-21,0,926,9.6,18.5,13.3,8.6,79.3,62,10.5,4,,,,,,,,
2009-04-22,0,922.5,13.1,20.1,15.2,13.2,87,70,10.2,3.7,,,,,,,,
2009-04-23,6.8,920.5,12.7,20.8,15.8,12.8,82.4,63,11.4,3.2,,,,,,,,
2009-04-24,0,922.7,13.8,20.7,16,12.7,86.7,74,6.6,2.3,,,,,,,,
2009-04-25,0,922.9,14.5,21.6,16.9,13.9,86.2,68,9.9,2.9,,,,,,,,
2009-04-26,0,922.9,15.4,22.4,17.3,14.6,89,64,7.3,2.1,,,,,,,,
2009-04-27,17,923.8,14.2,19.9,16,13.8,90.2,69,7.4,1,,,,,,,,
2009-04-28,.4,923.1,11.9,21.1,14.5,9.1,86.5,43,5.5,1.3,,,,,,,,
2009-04-29,0,921.2,10.6,23.7,16.6,11.5,70.5,39,7.9,1.9,,,,,,,,
2009-04-30,0,924.6,11.8,17.8,14,11.4,87.3,51,7,1.1,,,,,,,,
2009-05-01,1.4,925.4,11.1,19.8,13.9,10.6,84.1,61,7.6,2.5,,,,,,,,
2009-05-02,0,924.2,11.6,21.3,14.9,10.6,82,53,8.5,3,,,,,,,,
2009-05-03,.2,922.6,11.1,21.2,15.1,10.9,78.8,47,5.5,1.5,,,,,,,,
2009-05-04,0,920.5,12.2,22.5,15.9,11.3,79.4,53,8.6,3,,,,,,,,
2009-05-05,0,919.4,12.9,22.2,17.1,13.6,77.6,56,8.8,3,,,,,,,,
2009-05-06,6.4,919.2,6.8,17.2,12,7.4,71.8,49,15.6,3.4,,,,,,,,
2009-05-07,null,922,8.4,18.9,null,7.5,73,54,5.1,1.5,,,,,,,,
2009-05-08,0,922.2,9.8,17.5,12.7,10,82.6,52,5.9,1.7,,,,,,,,
2009-05-09,0,922,11.6,21.2,15.3,10.4,79.8,49,7.8,1.7,,,,,,,,
2009-05-10,.2,921.4,12.9,22.6,15.9,12.2,83.5,53,8.4,2.9,,,,,,,,
2009-05-11,0,919.9,13.3,24.9,18,13.1,75.8,46,9.8,2.8,,,,,,,,
2009-05-12,0,919.1,14.3,19.4,16.8,16.4,85.9,70,9.6,3.3,,,,,,,,
2009-05-13,12.2,916.5,15.4,23,17.7,13.3,86.6,72,16.8,3.3,,,,,,,,
2009-05-14,44.4,914.3,12.3,17.7,12.9,12.1,96,89,11.5,3.9,,,,,,,,
2009-05-15,15,918.4,6.4,9.2,null,5.6,96,90,12.7,3.7,,,,,,,,
2009-05-16,null,922,4.3,12.7,null,1.2,82.7,48,5.2,1.5,,,,,,,,
2009-05-17,null,922.6,6.9,19.4,11.1,5.7,77,36,9.9,3.7,,,,,,,,
2009-05-18,0,924.5,9.3,19.9,14.4,10.1,72.7,46,9.5,3,,,,,,,,
2009-05-19,.8,925.9,12.3,16.4,12.9,11.2,96.3,62,5.8,1.4,,,,,,,,
